# ترتيب التطبيق الفعلي على قاعدة Supabase (لندن ثم جدة) ترحيلا ترحيلا، والملف الذي يحمله في المستودع.
# الحالة: exact مطابق حرفيا | merged مضمن في ملف يضم ترحيلات عدة | edited الملف نسخة معدلة لاحقا بالاسم نفسه | filled كان فارغا وملئ بالمطبق | added اضيف 2026-09-11
# للبناء من الصفر: يطبق كل ملف مرة واحدة عند اول ظهور له في هذا الترتيب (tools/db-fresh-build.sh)
# version	name	file	status
20260903103947	wipe_maher_for_tracker	0091_wipe_maher_project.sql	added
20260903104135	tracker_0001_init	0001_init.sql	edited
20260903104335	tracker_0002_worker_rpcs	0002_worker_rpcs.sql	exact
20260903104524	tracker_0003_harden_function_grants	0092_harden_function_grants.sql	added
20260903112357	tracker_0003_trial_instead_of_free	0003_trial_instead_of_free.sql	exact
20260903143110	tracker_0004_owner_can_read_own_org	0004_owner_can_read_own_org.sql	exact
20260903182018	tracker_0005_channels_telegram_first	0005_channels_telegram_first.sql	exact
20260903185314	tracker_0006_telegram_only	0006_telegram_only.sql	exact
20260903190000	tracker_0007_plan_requests	0007_plan_requests.sql	exact
20260903194424	tracker_0008_canonical_numbers	0008_canonical_numbers.sql	filled
20260903194441	tracker_0009_find_profile_for_invite	0009_find_profile_for_invite.sql	filled
20260903200513	tracker_0010_owner_admin_and_user_list	0010_owner_admin_and_user_list.sql	filled
20260903200949	tracker_0011_inapp_notifications	0093_inapp_notifications.sql	added
20260903201127	tracker_0012_allow_inapp_channel	0094_allow_inapp_channel.sql	added
20260903201213	tracker_0013_attachments	0095_attachments.sql	added
20260903201428	tracker_0014_item_amount_and_client	0096_item_amount_and_client.sql	added
20260903201759	tracker_0015_exclude_self_from_invite_list	0097_exclude_self_from_invite_list.sql	added
20260903202515	accept_invitations_on_sign_in	0011_accept_invitations_on_sign_in.sql	edited
20260903202629	accept_invitations_fix_out_param_ambiguity	0098_accept_invitations_fix_out_param_ambiguity.sql	added
20260903202718	accept_invitations_final	0099_accept_invitations_final.sql	added
20260903203046	tracker_0016_case_number_link	0100_case_number_link.sql	added
20260903203556	invitation_notifications	0012_invitation_notifications.sql	exact
20260903211957	tracker_0017_delete_own_notifications	0101_delete_own_notifications.sql	added
20260903212319	team_messages_and_assignment_notice	0013_team_workspace.sql	exact
20260903212452	tracker_0018_activity_feed	0102_activity_feed.sql	added
20260904055652	team_chat_privacy_and_realtime	0014_team_chat_privacy_and_realtime.sql	exact
20260904060459	tracker_0019_audit_indexes_and_grants	0019_audit_indexes_and_grants.sql	filled
20260904060537	tracker_0020_audit_policies_initplan	0020_audit_policies_initplan.sql	filled
20260904062058	team_room_notifications	0015_team_room_notifications.sql	exact
